Town,Year,Enrollment
Andover,2005,5
Bolton,2005,5
Ellington,2005,21
Hebron,2005,5
Somers,2005,31
Stafford,2005,54
Tolland,2005,9
Vernon,2005,277
Avon,2005,16
Bloomfield,2005,203
Canton,2005,12
East Granby,2005,5
East Hartford,2005,882
East Windsor,2005,81
Enfield,2005,2
Farmington,2005,44
Glastonbury,2005,66
Granby,2005,3
Hartford,2005,4195
Manchester,2005,747
Marlborough,2005,8
Newington,2005,81
Rocky Hill,2005,39
Simsbury,2005,23
South Windsor,2005,34
Suffield,2005,41
West Hartford,2005,213
Wethersfield,2005,97
Windsor,2005,221
Windsor Locks,2005,61
Andover,2009,3
Bolton,2009,8
Ellington,2009,27
Hebron,2009,10
Somers,2009,10
Stafford,2009,36
Tolland,2009,15
Vernon,2009,202
Avon,2009,11
Bloomfield,2009,157
Canton,2009,14
East Granby,2009,18
East Hartford,2009,664
East Windsor,2009,80
Enfield,2009,333
Farmington,2009,43
Glastonbury,2009,57
Granby,2009,8
Hartford,2009,2548
Manchester,2009,544
Marlborough,2009,7
Newington,2009,76
Rocky Hill,2009,24
Simsbury,2009,23
South Windsor,2009,44
Suffield,2009,24
West Hartford,2009,141
Wethersfield,2009,71
Windsor,2009,207
Windsor Locks,2009,68
Andover,2012,12
Bolton,2012,2
Ellington,2012,42
Hebron,2012,21
Somers,2012,27
Stafford,2012,71
Tolland,2012,30
Vernon,2012,284
Avon,2012,7
Bloomfield,2012,182
Canton,2012,16
East Granby,2012,12
East Hartford,2012,777
East Windsor,2012,106
Enfield,2012,364
Farmington,2012,44
Glastonbury,2012,65
Granby,2012,10
Hartford,2012,2513
Manchester,2012,554
Marlborough,2012,13
Newington,2012,128
Rocky Hill,2012,63
Simsbury,2012,29
South Windsor,2012,47
Suffield,2012,24
West Hartford,2012,202
Wethersfield,2012,86
Windsor,2012,90
Windsor Locks,2012,193
